No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
103,REGN,"Regeneron Pharmaceuticals, Inc.",116948582730,1079.19,0.13%,13100100000
104,PLD,"Prologis, Inc.",116711081550,126.05,-0.03%,7768486000
105,SCHW,The Charles Schwab Corporation,115860883200,65.19,0.43%,18461000000
106,ADI,"Analog Devices, Inc.",114814689460,231.38,3.03%,10464722000
107,NKE,"NIKE, Inc.",112249714390,74.86,0.73%,51362000000
108,UPS,"United Parcel Service, Inc.",111539214836,130.37,1.04%,89739000000
109,CB,Chubb Limited,111348446440,275.66,-0.36%,53574000000
110,KLAC,KLA Corporation,110818144800,823.07,8.46%,9598649000
111,RIO,Rio Tinto Group,109862688160,65.16,2.57%,54041000000
112,KKR,KKR & Co. Inc.,109549776900,123.45,2.88%,21028568000
113,MMC,"Marsh & McLennan Companies, Inc.",109450132920,222.57,0.07%,23630000000
114,BSX,Boston Scientific Corporation,108616898400,73.88,-0.20%,14707000000
115,ANET,"Arista Networks, Inc.",108595947650,346.55,11.28%,6311667000
116,ADP,"Automatic Data Processing, Inc.",107488002420,262.62,1.89%,18912000000
117,SONY,Sony Group Corporation,107090869564,88.59,0.24%,86002430647
118,PANW,"Palo Alto Networks, Inc.",105147574000,324.73,2.27%,7791300000
119,TD,The Toronto-Dominion Bank,103851479000,59.03,-0.02%,36855474453
120,MDT,Medtronic plc,102991926400,80.32,-0.61%,32364000000
121,AMT,American Tower Corporation,102921290000,220.40,-1.19%,11339700000
122,DE,Deere & Company,102506528600,371.98,0.06%,58633000000
123,IBN,ICICI Bank Limited,102443038700,29.11,0.80%,22649489173
124,CI,Cigna Corporation,99048081580,348.67,-1.16%,206003000000
125,BP,BP p.l.c.,97484373860,35.39,1.67%,204813000000
126,UBS,UBS Group AG,96770011768,30.18,0.57%,40834000000
127,BMY,Bristol-Myers Squibb Company,96423144000,47.56,-3.04%,46509000000
128,GILD,"Gilead Sciences, Inc.",94759351000,76.06,-2.55%,27450000000
129,FI,"Fiserv, Inc.",94171338250,163.57,0.28%,19780000000
130,SMFG,"Sumitomo Mitsui Financial Group, Inc.",93696614502,14.48,6.00%,26083705416
131,HCA,"HCA Healthcare, Inc.",93693765700,363.05,0.47%,66716000000
132,INFY,Infosys Limited,91884423878,22.13,-2.12%,18562000000
133,MDLZ,"Mondelez International, Inc.",91681956000,68.35,1.94%,35976000000
134,SO,The Southern Company,91323273600,83.52,0.17%,25419000000
135,PBR,Petróleo Brasileiro S.A. - Petrobras,90709165211,14.27,1.49%,102409000000
136,PBR-A,Petróleo Brasileiro S.A. - Petrobras,90404721047,13.16,1.15%,102409000000
137,ABNB,"Airbnb, Inc.",89863586535,139.56,0.41%,10241000000
138,SHW,The Sherwin-Williams Company,88492106400,350.80,-0.30%,23007700000
139,SBUX,Starbucks Corporation,88293965000,77.95,2.65%,36475800000
140,RELX,RELX PLC,87911406672,47.23,-0.27%,11596202532
141,ICE,"Intercontinental Exchange, Inc.",86932542600,151.56,0.17%,10232000000
142,SNPS,"Synopsys, Inc.",85543557120,558.32,6.17%,6190358000
143,MELI,"MercadoLibre, Inc.",84608890860,1668.90,2.63%,15769000000
144,DUK,Duke Energy Corporation,84331198630,109.27,-0.57%,29455000000
145,MO,"Altria Group, Inc.",84181046300,49.01,-3.05%,24340000000
146,SCCO,Southern Copper Corporation,83279147770,106.61,5.40%,9701700000
147,MCO,Moody's Corporation,83125008000,456.48,-0.34%,6555000000
148,ZTS,Zoetis Inc.,82151351800,180.04,-0.98%,8734000000
149,GD,General Dynamics Corporation,82078936380,298.71,1.95%,44946000000
150,WM,"Waste Management, Inc.",81330497900,202.66,0.78%,20976000000
151,CL,Colgate-Palmolive Company,81046859530,99.19,-1.29%,19988000000
152,DELL,Dell Technologies Inc.,80406840852,113.68,4.67%,89747000000
153,BN,Brookfield Corporation,80095275000,48.75,1.88%,95534000000
154,MCK,McKesson Corporation,80034281220,617.02,1.20%,308951000000
155,ENB,Enbridge Inc.,79850163763,37.42,0.56%,31332352941
156,GSK,GSK plc,79054743900,38.77,-2.51%,39410256410
157,SHOP,Shopify Inc.,78867632099,61.20,3.38%,7413000000
158,BTI,British American Tobacco p.l.c.,78838817068,35.64,-0.42%,33141772152
159,CP,Canadian Pacific Railway Limited,78179333100,83.82,2.07%,10153676471
160,APH,Amphenol Corporation,77387675400,64.26,3.75%,13392700000
161,CTAS,Cintas Corporation,76981469860,763.94,-0.29%,9596615000
162,CNQ,Canadian Natural Resources Limited,75739510800,35.48,3.80%,26163235294
163,CVS,CVS Health Corporation,75736472100,60.33,-4.51%,360935000000
164,TT,Trane Technologies plc,75664946560,334.28,1.66%,18227200000
165,EQIX,"Equinix, Inc.",74998280368,790.24,2.79%,8316927000
166,CMG,"Chipotle Mexican Grill, Inc.",74390153600,54.32,3.33%,10663233000
167,RACE,Ferrari N.V.,74389555520,413.01,0.67%,6658444565
168,FDX,FedEx Corporation,73840279500,302.25,0.46%,87693000000
169,ITW,Illinois Tool Works Inc.,73788352000,247.28,-0.83%,16061000000
170,SAN,"Banco Santander, S.A.",73702948986,4.85,-1.02%,105220778349
171,CDNS,"Cadence Design Systems, Inc.",73290661200,267.66,5.75%,4161501000
172,TRI,Thomson Reuters Corporation,72949979520,161.92,0.80%,6941000000
173,EOG,"EOG Resources, Inc.",72873354800,126.80,0.52%,24265000000
174,CNI,Canadian National Railway Company,72864625000,115.75,0.49%,12435036496
175,EQNR,Equinor ASA,72625890796,26.56,2.43%,107174000000
176,TDG,TransDigm Group Incorporated,72422609870,1294.22,2.38%,7304000000
177,PH,Parker-Hannifin Corporation,72132067560,561.16,1.81%,19838734000
178,PNC,"The PNC Financial Services Group, Inc.",72060957700,181.10,-0.48%,21032000000
179,AON,Aon plc,71366169420,328.51,-0.07%,14158000000
180,APO,"Apollo Global Management, Inc.",71301891240,125.31,2.18%,34383000000
181,NOC,Northrop Grumman Corporation,70829378400,484.32,-0.50%,40764000000
182,MMM,3M Company,70070102700,127.55,0.63%,30583000000
183,USB,U.S. Bancorp,70033444800,44.88,-1.30%,25156000000
184,CME,CME Group Inc.,69747610020,193.71,-1.77%,5625200000
185,BDX,"Becton, Dickinson and Company",69667786360,241.06,-0.28%,19716000000
186,TGT,Target Corporation,69585231170,150.41,1.66%,106621000000
187,DEO,Diageo plc,69240928125,124.75,-0.51%,17113000000
188,PYPL,"PayPal Holdings, Inc.",68809169000,65.78,2.78%,31028000000
189,CSX,CSX Corporation,68618043000,35.10,0.23%,14632000000
190,SLB,Schlumberger Limited,68564073600,48.29,1.43%,35146000000
191,SPOT,Spotify Technology S.A.,67276703220,343.94,4.11%,15560215054
192,NXPI,NXP Semiconductors N.V.,67035536280,263.16,4.56%,13109000000
193,EMR,Emerson Electric Co.,66998631000,117.11,1.22%,16529000000
194,MSI,"Motorola Solutions, Inc.",66534670040,398.92,0.91%,10197000000
195,WELL,Welltower Inc.,66518155000,111.25,-0.88%,7096413000
196,ORLY,"O'Reilly Automotive, Inc.",66334780594,1126.34,-1.28%,16080626000
197,ECL,Ecolab Inc.,65878143300,230.69,0.80%,15500500000
198,FCX,Freeport-McMoRan Inc.,65231010900,45.41,3.56%,23787000000
199,MAR,"Marriott International, Inc.",64921880600,227.30,-4.80%,24439000000
200,NGG,National Grid plc,62978219800,64.45,0.78%,25448717949
201,EPD,Enterprise Products Partners L.P.,62671221600,28.86,-0.60%,52031000000
202,MPC,Marathon Petroleum Corporation,62369456600,177.02,-0.71%,148441000000
203,AJG,Arthur J. Gallagher & Co.,62112659000,283.49,-0.53%,10956000000
204,PSX,Phillips 66,61676536960,145.48,-1.15%,151237000000
205,CARR,Carrier Global Corporation,61486438720,68.11,1.01%,23704000000
206,BMO,Bank of Montreal,61176692520,84.33,2.22%,23111594203
207,RSG,"Republic Services, Inc.",61029693760,194.32,1.02%,15567200000
208,BBVA,"Banco Bilbao Vizcaya Argentaria, S.A.",60618596600,10.54,-3.66%,35665911288
209,WDAY,"Workday, Inc.",60186801136,227.12,0.28%,7564688000
210,CEG,Constellation Energy Corporation,59831576428,189.80,12.51%,23514000000
211,TFC,Truist Financial Corporation,59799689000,44.69,-0.56%,19999000000
212,ING,ING Groep N.V.,59435108780,18.13,-0.11%,24419232730
213,ITUB,Itaú Unibanco Holding S.A.,59008751010,6.02,-1.79%,25570020534
214,DHI,"D.R. Horton, Inc.",58664377200,179.93,-0.28%,37302900000
215,APD,"Air Products and Chemicals, Inc.",58655438100,263.85,-0.14%,12152800000
216,CRH,CRH plc,58638262470,85.70,1.95%,
217,MFG,"Mizuho Financial Group, Inc.",58547185505,4.62,6.94%,25769597094
218,ROP,"Roper Technologies, Inc.",58312763750,544.75,-0.01%,6388800000
219,NU,Nu Holdings Ltd.,57994604876,12.13,0.92%,9146210000
220,MRVL,"Marvell Technology, Inc.",57977888000,66.98,6.66%,5346900000
221,COF,Capital One Financial Corporation,57822990800,151.40,-0.56%,26972000000
222,BNS,The Bank of Nova Scotia,57384031900,46.67,0.67%,24015942029
223,NTES,"NetEase, Inc.",57347446514,92.11,0.50%,14621335139
224,PLTR,Palantir Technologies Inc.,57284842600,26.89,1.97%,2334164000
225,NSC,Norfolk Southern Corporation,56424517760,249.56,-0.06%,12092000000
226,CRWD,"CrowdStrike Holdings, Inc.",56374828654,231.96,-0.72%,3284011000
227,NEM,Newmont Corporation,56304390100,49.07,3.50%,14875000000
228,COIN,"Coinbase Global, Inc.",55088750423,224.36,-0.04%,3973424000
229,ET,Energy Transfer LP,54852840700,16.27,0.37%,81220000000
230,MET,"MetLife, Inc.",54649802550,76.85,0.13%,67574000000
231,CHTR,"Charter Communications, Inc.",54201612520,379.72,-0.87%,54659000000
232,AFL,Aflac Incorporated,54197014360,95.38,0.02%,19336000000
233,OXY,Occidental Petroleum Corporation,53925262340,60.82,0.91%,27670000000
234,HLT,Hilton Worldwide Holdings Inc.,53677374820,214.67,-1.87%,10515000000
235,MNST,Monster Beverage Corporation,53597008500,51.45,-0.23%,7340195000
236,AZO,"AutoZone, Inc.",53532199532,3133.69,0.81%,17975506000
237,ADSK,"Autodesk, Inc.",53342787680,247.52,1.72%,5645000000
238,AIG,"American International Group, Inc.",52582415640,79.23,0.28%,48396000000
239,WMB,"The Williams Companies, Inc.",52333125000,42.94,-0.02%,10597000000
240,PSA,Public Storage,52000542000,295.92,-2.78%,4634119000
241,AMX,"América Móvil, SAB de CV",51986660000,16.72,1.39%,43721511182
242,HMC,"Honda Motor Co., Ltd.",51918411403,32.30,2.12%,134932642008
243,VLO,Valero Energy Corporation,51812015320,161.72,-1.08%,140067000000
244,AEP,"American Electric Power Company, Inc.",51721210542,98.12,-0.02%,19523800000
245,PCAR,PACCAR Inc,51712145700,98.66,1.66%,35398400000
246,SU,Suncor Energy Inc.,51293607200,39.92,3.93%,37513970588
247,SRE,Sempra,50665650760,80.06,-0.20%,13800000000
248,CPRT,"Copart, Inc.",50357054340,52.33,1.18%,4165415000
249,E,Eni S.p.A.,50116178991,32.05,0.91%,105351111111
250,URI,"United Rentals, Inc.",50071489890,757.10,2.72%,14751000000
251,SPG,"Simon Property Group, Inc.",50011619840,153.44,-0.88%,5750577000
252,O,Realty Income Corporation,50008550820,57.43,-1.61%,4395079000
253,GM,General Motors Company,49812134400,44.32,0.20%,178093000000
254,TRV,"The Travelers Companies, Inc.",49333385640,216.44,-1.81%,44073000000
255,GEV,GE Vernova Inc.,48980713827,178.24,9.55%,
256,DLR,"Digital Realty Trust, Inc.",48716548650,149.49,3.07%,5469481000
257,BK,The Bank of New York Mellon Corporation,48660387120,65.07,-0.26%,17713000000
258,OKE,"ONEOK, Inc.",48635304510,83.33,0.65%,17937000000
259,CM,Canadian Imperial Bank of Commerce,48447331230,51.69,0.80%,17450724638
260,JCI,Johnson Controls International plc,48194781040,71.54,3.64%,26930000000
261,LEN,Lennar Corporation,48181877673,176.93,-1.95%,35776308000
262,STLA,Stellantis N.V.,48123943096,16.69,-0.36%,189454838710
263,GWW,"W.W. Grainger, Inc.",47930894528,976.81,1.08%,16622000000
264,CCI,Crown Castle Inc.,47884800000,110.08,0.60%,6849000000
265,MFC,Manulife Financial Corporation,47820023600,26.63,2.03%,24930147059
266,ROST,"Ross Stores, Inc.",47777947250,143.23,0.34%,20740322000
267,PCG,PG&E Corporation,47740514067,18.25,-0.44%,24776000000
268,MCHP,Microchip Technology Incorporated,47630913900,88.78,2.59%,7634400000
269,COR,Cencora,47445641760,237.88,2.96%,276536514000
270,HES,Hess Corporation,47270082780,153.42,1.14%,11533000000
271,TEL,TE Connectivity Ltd.,47260321570,154.33,0.90%,15812000000
272,LYG,Lloyds Banking Group plc,47169361138,3.03,0.66%,61649367089
273,KMI,"Kinder Morgan, Inc.",46967130100,21.13,-1.41%,15359000000
274,KDP,Keurig Dr Pepper Inc.,46486765200,34.28,0.47%,15062000000
275,ALC,Alcon Inc.,46370200000,94.00,0.62%,9562000000
276,VALE,Vale S.A.,46339324046,10.85,1.50%,41784000000
277,PAYX,"Paychex, Inc.",46103458540,128.02,0.08%,5278300000
278,TEAM,Atlassian Corporation,45939917975,176.57,1.26%,4166111000
279,WCN,"Waste Connections, Inc.",45871237312,177.77,0.80%,8421172000
280,MRNA,"Moderna, Inc.",45689872800,119.22,0.32%,5153000000
281,ODFL,"Old Dominion Freight Line, Inc.",45668961300,210.18,2.51%,5884089000
282,KMB,Kimberly-Clark Corporation,45485380200,135.05,-0.98%,20280000000
283,DASH,"DoorDash, Inc.",45275004250,110.72,3.27%,9113000000
284,ALL,The Allstate Corporation,45161134800,171.12,-1.42%,58567000000
285,PRU,"Prudential Financial, Inc.",44989880000,125.32,-0.51%,60443000000
286,FERG,Ferguson plc,44962003342,222.65,1.79%,29359000000
287,IQV,IQVIA Holdings Inc.,44887729000,246.23,0.27%,15155000000
288,D,"Dominion Energy, Inc.",44810760060,53.46,0.47%,14770000000
289,STZ,"Constellation Brands, Inc.",44666190720,245.16,0.76%,10108700000
290,FTNT,"Fortinet, Inc.",44338961520,58.04,0.94%,5395800000
291,TRP,TC Energy Corporation,43999950900,42.41,1.12%,11947794118
292,TTD,"The Trade Desk, Inc.",43962745995,89.88,0.04%,2054570000
293,BCS,Barclays PLC,43830436000,11.92,-0.58%,32171794872
294,TAK,Takeda Pharmaceutical Company Limited,43792371600,13.88,1.68%,28162232497
295,SNOW,Snowflake Inc.,43651224000,130.38,1.16%,3011599000
296,HUM,Humana Inc.,43574366610,361.61,-10.61%,109243000000
297,MPLX,MPLX LP,43513684000,42.82,-0.67%,11414000000
298,LHX,"L3Harris Technologies, Inc.",43042167450,226.89,-0.37%,20765000000
299,KHC,The Kraft Heinz Company,42755503000,35.21,4.05%,26562000000
300,FIS,"Fidelity National Information Services, Inc.",42736764330,76.83,0.12%,11212000000
301,AMP,"Ameriprise Financial, Inc.",42716659743,430.07,-0.42%,15939000000
302,MSCI,MSCI Inc.,42530774000,540.76,-1.01%,2703459000
303,F,Ford Motor Company,42245608000,10.82,-0.18%,180348000000
304,MPWR,"Monolithic Power Systems, Inc.",42008316480,863.09,10.39%,1827892000
305,LNG,"Cheniere Energy, Inc.",41808487680,182.64,0.42%,17337000000
306,HLN,Haleon plc,41780277075,9.15,0.55%,14306329114
307,A,"Agilent Technologies, Inc.",41255005400,141.40,1.37%,6591000000
308,SMCI,"Super Micro Computer, Inc.",41086168225,701.65,5.30%,11819523000
309,FAST,Fastenal Company,40514704500,70.75,-0.20%,7415800000
310,IR,Ingersoll Rand Inc.,40504572800,100.40,1.55%,6916900000
311,CNC,Centene Corporation,40462227600,76.92,-0.23%,157745000000
312,RCL,Royal Caribbean Cruises Ltd.,40342862400,156.72,-0.14%,15329872000
313,AME,"AMETEK, Inc.",40155415600,173.48,0.66%,6736013000
314,EA,Electronic Arts Inc.,40110040900,150.94,1.22%,7562000000
315,HSY,The Hershey Company,39936274946,197.48,1.81%,11430127000
316,CMI,Cummins Inc.,39912404000,291.80,0.95%,34015000000
317,PEG,Public Service Enterprise Group Incorporated,39731841600,79.77,2.27%,10244000000
318,NWG,NatWest Group plc,39552840000,9.54,0.53%,17922784810
319,FICO,Fair Isaac Corporation,39537440000,1600.00,0.72%,1604289000
320,KR,The Kroger Co.,39337609500,54.50,-0.37%,150143000000
321,IDXX,"IDEXX Laboratories, Inc.",39321465276,476.12,0.30%,3724853000
322,CTVA,"Corteva, Inc.",39100353600,56.10,1.03%,16834000000
323,NUE,Nucor Corporation,39066820280,162.94,2.20%,34140604000
324,HWM,Howmet Aerospace Inc.,39063113100,95.70,2.01%,7093000000
325,NDAQ,"Nasdaq, Inc.",39019753440,67.68,-2.13%,6205000000
326,DDOG,"Datadog, Inc.",38949041320,116.44,1.53%,2257898000
327,IT,"Gartner, Inc.",38907630295,501.19,0.49%,6062888000
328,PWR,"Quanta Services, Inc.",38848447440,265.38,5.48%,21485199000
329,GEHC,GE HealthCare Technologies Inc.,38630663417,84.63,2.40%,19495000000
330,BKR,Baker Hughes Company,38465377280,38.72,1.26%,27033000000
331,AEM,Agnico Eagle Mines Limited,38445555353,77.17,2.67%,6947071000
332,IMO,Imperial Oil Limited,38344495720,71.56,2.74%,37596323529
333,SQ,"Block, Inc.",38182805490,61.88,2.98%,22882620000
334,DOW,Dow Inc.,38179166870,54.47,1.45%,43031000000
335,SYY,Sysco Corporation,38170320300,76.65,0.27%,78016112000
336,EW,Edwards Lifesciences Corporation,37993930000,63.05,-0.93%,6143400000
337,BSBR,Banco Santander (Brasil) S.A.,37877412219,5.07,-0.98%,65864310000
338,OTIS,Otis Worldwide Corporation,37852447500,94.50,0.72%,14181000000
339,CTSH,Cognizant Technology Solutions Corporation,37628020320,75.68,-0.18%,19301000000
340,GIS,"General Mills, Inc.",37473922440,67.14,-1.34%,19857200000
341,CVE,Cenovus Energy Inc.,37446832500,20.13,2.91%,39219852941
342,YUM,"Yum! Brands, Inc.",37409178560,132.83,0.50%,7029000000
343,VRSK,"Verisk Analytics, Inc.",37345181250,261.75,-8.48%,2733800000
344,EXC,Exelon Corporation,37201116000,37.20,-0.05%,22208000000
345,SE,Sea Limited,37190913712,65.70,1.01%,13756785000
346,JD,"JD.com, Inc.",37147487650,26.39,0.11%,153021527778
347,CPNG,"Coupang, Inc.",37118523873,20.75,2.07%,25696470000
348,MLM,"Martin Marietta Materials, Inc.",36574212670,593.35,1.42%,6674100000
349,VMC,Vulcan Materials Company,36304496520,274.51,1.67%,7678700000
350,DFS,Discover Financial Services,36083750010,143.99,-0.50%,9915000000
351,FANG,"Diamondback Energy, Inc.",36080774640,202.31,2.14%,8714000000
352,ACGL,Arch Capital Group Ltd.,35964815320,95.78,-2.46%,14407000000
353,EL,The Estée Lauder Companies Inc.,35716555259,99.61,0.17%,15346000000
354,KVUE,Kenvue Inc.,35404923803,18.49,-1.39%,15486000000
355,HPQ,HP Inc.,35316230400,36.09,1.60%,52998000000
356,FLUT,Flutter Entertainment plc,35074426800,197.40,2.48%,
357,DD,"DuPont de Nemours, Inc.",34995304800,83.70,4.09%,11981000000
358,WDS,Woodside Energy Group Ltd,34594149492,18.24,3.81%,13994000000
359,EFX,Equifax Inc.,34568126320,279.37,0.40%,5465500000
360,CBRE,"CBRE Group, Inc.",34537838010,112.71,0.63%,33144021000
361,GLW,Corning Incorporated,34273326190,40.01,0.68%,12385000000
362,CCEP,Coca-Cola Europacific Partners PLC,33849069420,73.77,0.74%,20335555556
363,EXR,Extra Space Storage Inc.,33795544500,159.62,-2.13%,2856733000
364,ED,"Consolidated Edison, Inc.",33725829200,97.52,-0.65%,14540000000
365,ON,ON Semiconductor Corporation,33518857000,78.25,5.79%,7796800000
366,GRMN,Garmin Ltd.,32893357500,171.25,-4.51%,5462476000
367,VICI,VICI Properties Inc.,32609806800,31.26,-0.51%,3685822000
368,GOLD,Barrick Gold Corporation,32503560000,18.51,2.04%,11501000000
369,HIG,"The Hartford Financial Services Group, Inc.",32501112880,110.92,-0.77%,25473000000
370,MTD,Mettler-Toledo International Inc.,32485246122,1521.03,0.76%,3785520000
371,ABEV,Ambev S.A.,32440235220,2.06,-1.44%,16373080082
372,LYB,LyondellBasell Industries N.V.,32386364120,99.46,1.22%,40785000000
373,XEL,Xcel Energy Inc.,32382640920,58.28,-0.60%,13775000000
